frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13];pcm_fftMag_mfcc[14];pcm_fftMag_mfcc[15];pcm_fftMag_mfcc[16]
248;2.485624;5.184431e+000;-5.977242e+000;-4.631852e+000;-7.083941e+000;-7.315756e+000;-1.622956e+001;-1.572307e+001;-5.912631e+000;-5.187371e+000;1.044843e+001;1.228866e+001;8.620089e+000;9.284704e+000;1.415549e+001;1.182722e+001;4.077610e+000
249;2.495646;2.645369e+000;-2.675785e+000;-5.555571e+000;-7.142789e+000;-9.070850e+000;-1.621393e+001;-1.347262e+001;-3.610079e-001;5.263332e+000;1.978108e+001;1.713647e+001;-1.128007e+000;1.050065e+001;1.589895e+001;8.093143e+000;-6.401136e-001
250;2.505669;4.619672e+000;1.722183e+000;-1.532126e+000;-6.878837e+000;-8.367101e+000;-7.400619e+000;-8.988357e+000;-1.303565e+000;9.587371e+000;-2.150755e+000;3.116043e+000;1.198162e+000;2.584898e+000;1.218894e+001;7.295549e+000;-5.980987e+000
251;2.515692;3.175623e+000;1.204013e+000;-5.392134e+000;-6.110284e+000;-1.060329e+001;-1.264449e+001;-1.735324e+001;-4.605580e+000;3.344038e+000;-7.912890e-002;2.339623e+000;1.279493e+000;5.853622e+000;1.229476e+001;3.731379e+000;-1.058436e+000
252;2.525714;5.193706e+000;-4.179442e-001;-7.234255e+000;-6.556730e+000;-1.157114e+001;-6.517337e+000;-1.102520e+001;-4.237533e+000;3.684067e+000;7.366193e+000;5.098442e+000;1.091241e+001;1.002281e+001;1.215491e+001;8.481524e+000;3.774903e-001
253;2.535737;2.030140e+000;-1.357747e-002;8.596376e-002;-2.996551e+000;-4.226967e+000;-6.665423e+000;-1.039068e+001;-2.475218e+000;1.482900e+001;4.876077e+000;5.036053e-001;-3.703457e-001;5.785258e+000;7.570659e+000;6.647090e+000;2.084950e-001
254;2.545760;2.900740e+000;-1.747199e-001;3.893955e-001;2.519341e-001;7.693602e-001;2.740011e+000;-2.529186e+000;-2.621433e+000;9.684050e+000;1.403199e+001;-7.821174e-001;-6.551358e+000;1.601260e+000;-1.165307e+000;-3.907359e-001;-3.117160e+000
255;2.555782;5.256455e+000;6.102896e+000;-1.361469e+000;4.940976e+000;3.225052e+000;9.360033e-002;-2.850558e+000;5.271530e+000;3.921217e+000;6.953804e+000;2.080874e+000;-1.351049e+001;5.335705e-001;-2.969820e+000;6.283290e-001;-9.494702e+000
256;2.565805;4.165297e+000;3.026928e+000;2.661730e+000;9.612399e+000;-1.819154e-001;-2.014908e+000;-8.299796e+000;8.771742e+000;5.603601e+000;6.101449e+000;-4.195503e+000;-1.198826e+001;-6.379287e+000;1.972943e+000;-1.099565e+000;-6.668591e+000
257;2.575828;6.057412e+000;3.536404e+000;9.006858e-001;1.085446e+001;-3.753235e+000;-8.880584e+000;-5.031042e+000;2.046622e+000;5.440610e+000;6.883086e+000;-4.446467e+000;-1.633641e+000;-7.217522e+000;-3.478214e+000;-2.277729e+000;-7.674149e-001
258;2.585850;8.951783e+000;5.872464e+000;1.015793e+001;5.753808e+000;-6.427896e+000;1.788457e+000;-3.009360e+000;6.851580e-001;-7.288063e+000;-2.190353e+000;-5.127030e+000;1.580355e+000;-2.680801e+000;-7.247258e+000;-4.022557e+000;-1.008298e-001
259;2.595873;8.120241e+000;1.092608e+001;5.985962e+000;5.701138e+000;-2.114783e+000;6.479282e-001;-1.205692e+000;-5.984056e+000;-5.135848e-001;-1.693484e+001;-1.127017e+001;-1.612336e+001;-1.465993e+001;-8.538393e+000;-1.096526e+001;-3.463866e+000
